id,source,reason,text
ec0a1434-27d0-42a3-9a66-b38c826b41a1,play_store,too_short,acha
8710e907-a189-451b-9171-8b0e0ee4b04c,play_store,too_short,nice
657963c3-8428-4429-af1e-0a62b5f018e8,play_store,too_short,best
f478e05b-3068-4c80-a6f4-000c62818ff8,play_store,too_short,nice apppppp🥰
5d7803d8-4b89-49f6-a517-e3b7011f5477,play_store,too_short,good
7e688db4-c36b-45bb-8e6a-7ed19d6a2a92,play_store,too_short,good
244ec9a0-dee6-48aa-9d59-7e1e84bdc898,play_store,too_short,बेस्ट ह सर्विस
73fff6d7-de69-4926-87b4-6e9ec78ef755,play_store,too_short,not good
509af052-435d-44dc-9ac5-e3a6e21aa5f9,play_store,too_short,ekadam bakwas
cc0d6473-290f-4ead-883a-124ec7ea71a4,play_store,too_short,ok
36904440-f5ae-48de-8e5c-3a329120f437,play_store,too_short,good
9dad5679-c198-469c-8fe3-43214d2be756,play_store,too_short,ok
29915d23-ba38-49a8-b941-7b03f0aa5b47,play_store,too_short,ओके
0b3e4aea-0867-4453-911e-dddb02b82852,play_store,too_short,good
84894aab-1434-4cf8-b59c-13b271308953,play_store,too_short,nice
3dacac8d-9780-4906-843d-38150fa08853,play_store,too_short,good
528ecd70-cfe7-4700-b519-a4092894d426,play_store,too_short,good
23d786db-39f7-4789-a6ea-ee522b70bc78,play_store,too_short,ok
63d24abe-02a3-48de-9a20-94d0ff4b1231,play_store,too_short,🙏😘
ad1922ec-8a18-4af4-89c0-e2b22853a527,play_store,too_short,good
3acc7448-14de-44b3-9072-207db1cf085a,play_store,too_short,Good 👍
07e43272-1852-49df-8c04-eae3af599ba1,play_store,too_short,such a good app
dc20d415-0ca9-48a0-a401-25945952d37a,play_store,too_short,ok
f216ee32-c6b9-4b29-b7c4-01b45783d76a,play_store,too_short,mast sarvish he
2beaa7be-6d47-4fd8-8fa1-c33c353f98b9,play_store,too_short,bahut achaa app he
a14e7175-449d-4ef7-94d7-cd5ecda4a5ee,play_store,too_short,good
b722a81a-2db5-438b-be63-050d481d97eb,play_store,too_short,very good
b3f82b93-3cd4-48f2-9f97-66c049d6ea28,play_store,too_short,goo डी
63c85d97-f1b0-46b6-8ebb-9b561e651e33,play_store,too_short,bahut achcha good
36ca8680-51d7-4618-8543-78ff67fcf4de,play_store,too_short,huuu
357d63fd-65ee-4a96-973a-02f8c4773949,play_store,too_short,गुड
a7760723-d0fa-43e7-bab0-391342ea029e,play_store,too_short,nic
d244bcba-df52-427e-bb41-1d1daafa5452,play_store,too_short,nice app
1ba695ae-9162-4cd3-a30e-0f183b92d0fd,play_store,too_short,ok
86d677fc-0a0c-4c23-92e6-bc9aa74e0e32,play_store,too_short,बहुत अच्छा है❤️
c01c3f49-e714-48fe-b209-0ffa8ed3f145,play_store,too_short,very good and nice
8895fc13-ae6d-428a-b434-5f87b8c4e2be,play_store,too_short,great
18def56d-7490-417e-a27c-ddd0ba31bbff,play_store,too_short,vary nice app
4121fdcb-3bea-4745-b1f9-f1e9529aa045,play_store,too_short,very good 👍😊
fe556965-98df-46c4-8aa8-ee071c2e9256,play_store,too_short,nic
a871aad2-4691-407e-b9bc-525231765ef0,play_store,too_short,very good 👍
214cfe22-6570-47f8-b3f0-d66779892cfb,play_store,too_short,super
a7a9b41d-a928-4288-8550-405877c42884,play_store,too_short,super 💯
72bf8d18-41e3-4ff0-b065-763be3b6dcb1,play_store,too_short,good👍
5ddb18cd-2a93-408b-b786-00bf7c40796d,play_store,too_short,bahut badhiya
281ef762-720a-4f87-807b-4779b6b889e2,play_store,too_short,best
dffaca58-4618-46c0-b51a-73605dcb58ff,play_store,too_short,Good 😊👍❤️
a3dffa0b-66bf-4940-95fb-6a229a690666,play_store,too_short,बहुत अच्छा ऐप है
5148bd06-f591-4aac-ab95-0d0de813d702,play_store,too_short,good aplication
2fa17d52-6092-4937-8082-b2c3c9567e3b,play_store,too_short,ok
475d374f-97be-4491-916c-3836fdfacd24,play_store,too_short,good
099a4375-9a3e-4c36-bd33-415690d8f6ba,play_store,too_short,good
5d41d2f5-42cc-4dea-b5ac-130ec1a3b5f9,play_store,too_short,achi service
56d1b53c-102f-49f6-87e5-63ddb3279b12,play_store,too_short,nice
fe2c0f32-5a09-4114-9ada-85f6a59f458a,play_store,too_short,Acha Hai 😊
f9997fc0-8fdc-49aa-9343-0119e9e17bac,play_store,too_short,good
4728f703-61fb-4583-b7cb-7891b068aaa6,play_store,too_short,about temperature
ba92fbb2-5bcf-4af2-bb94-2b634191072d,play_store,too_short,good. project
2010ac13-7587-42a2-a65a-80d1948aba6a,play_store,too_short,good
2b2a1406-f711-4758-a344-e9455055663b,play_store,too_short,very nice 🙂
dcd52907-7686-4de7-8bec-2d2a2d47c494,play_store,too_short,अच्छा लगा
